HOME TEAM: UC San Diego	Time	Score	Margin	VISITORS: Cal State Monterey Bay
	11:15	53-31	H 22	GOOD! LAYUP by Ducree,Julian [PNT]
MISSED 3 PTR by EVERMAN, Scott	10:45			REBOUND (DEF) by Ducree,Julian
	10:38			TURNOVR by Warren,Kevin
STEAL by BALLESTERO, Anthony	10:37			
TURNOVR by HANSEN, Chris	10:21			
	10:21			TIMEOUT MEDIA
SUB IN : SHOEMAKER, Michael	10:21			SUB IN : Johnson,Jahvon
SUB OUT: HANSEN, Chris	10:21			SUB IN : Polosky,Gregg
	10:21			SUB OUT: Bejsovec,Matt
	10:21			SUB OUT: Warren,Kevin
FOUL by EVERMAN, Scott (P2T1)	10:14			
REBOUND (DEF) by BALLESTERO, Anthony	09:56			MISSED 3 PTR by Bouyea,Jonquis
	09:45			FOUL by Bouyea,Jonquis (P3T5)
MISSED JUMPER by SHOEMAKER, Michael	09:29			REBOUND (DEF) by Bouyea,Jonquis
	09:08			FOUL by Bouyea,Jonquis (P4T6)
	09:08			TURNOVR by Bouyea,Jonquis
GOOD! LAYUP by KLIE, Adam [PNT]	08:42	55-31	H 24	
FOUL by SHOEMAKER, Michael (P3T2)	08:30			
REBOUND (DEF) by BROOKS, Joshua	08:16			MISSED JUMPER by Johnson,Jahvon
TURNOVR by BROOKS, Joshua	08:02			
	08:01			STEAL by Polosky,Gregg
FOUL by BALLESTERO, Anthony (P3T3)	07:54			
FOUL by BALLESTERO, Anthony (P4T4)	07:54			
	07:54			TIMEOUT MEDIA
	07:54	55-32	H 23	GOOD! FT SHOT by Covarrubias,Joe
	07:54	55-33	H 22	GOOD! FT SHOT by Covarrubias,Joe
FOUL TECHNCL by BALLESTERO, Anthony	07:54			
SUB IN : RICO, Ben	07:54			
SUB OUT: BALLESTERO, Anthony	07:54			
FOUL by EVERMAN, Scott (P3T5)	07:53			
REBOUND (DEF) by SHOEMAKER, Michael	07:45			MISSED JUMPER by Polosky,Gregg
GOOD! FT SHOT by SHOEMAKER, Michael	07:15	56-33	H 23	FOUL by Polosky,Gregg (P3T7)
GOOD! FT SHOT by SHOEMAKER, Michael	07:15	57-33	H 24	
SUB IN : COX, Koree	07:15			SUB IN : Bejsovec,Matt
SUB OUT: BROOKS, Joshua	07:15			SUB IN : Warren,Kevin
	07:15			SUB OUT: Johnson,Jahvon
	07:15			SUB OUT: Polosky,Gregg
	07:04	57-35	H 22	GOOD! LAYUP by Ducree,Julian [PNT]
GOOD! 3 PTR by RICO, Ben	06:42	60-35	H 25	
ASSIST by COX, Koree	06:42			
GOOD! FT SHOT by RICO, Ben	06:42	61-35	H 26	FOUL by Bouyea,Jonquis (P5T8)
	06:42			SUB IN : Polosky,Gregg
	06:42			SUB OUT: Bouyea,Jonquis
REBOUND (DEF) by SHOEMAKER, Michael	06:39			MISSED JUMPER by Warren,Kevin
MISSED FT SHOT by COX, Koree	06:16			FOUL by Bejsovec,Matt (P3T9)
REBOUND (OFF) by (DEADBALL)	06:16			
GOOD! FT SHOT by COX, Koree	06:16	62-35	H 27	
SUB IN : BROOKS, Joshua	06:16			
SUB OUT: KLIE, Adam	06:16			
	06:10			TIMEOUT TEAM
